"","V1"
"CTYPEML","Facility offers outpatient methadone/buprenorphine maintenance or naltrexone treatment"
"CTYPEOP","Facility offers outpatient day treatment or partial hospitalization"
"CTYPE2","Facility offers intensive outpatient treatment services"
"CTYPE3","Facility offers regular outpatient treatment services"
"SIGNLANG","Facility provides substance use treatment services in sign language"
"LANG","Facility provides substance use treatment in a language other than English"
"LANG1","Staff counselors provide substance use treatment in Hopi"
"LANG2","Staff counselors provide substance use treatment in Lakota"
"LANG3","Staff counselors provide substance use treatment in Navajo"
"LANG4","Staff counselors provide substance use treatment in Yupik"
"LANG5","Staff counselors provide substance use treatment in other American Indian or Alaska Native language"
"LANG6","Staff counselors provide substance use treatment in Arabic"
"LANG7","Staff counselors provide substance use treatment in any Chinese language"
"LANG8","Staff counselors provide substance use treatment in Creole"
"LANG9","Staff counselors provide substance use treatment in French"
"LANG10","Staff counselors provide substance use treatment in German"
"LANG11","Staff counselors provide substance use treatment in Hmong"
"LANG12","Staff counselors provide substance use treatment in Korean"
"LANG13","Staff counselors provide substance use treatment in Polish"
"LANG14","Staff counselors provide substance use treatment in Portuguese"
"LANG15","Staff counselors provide substance use treatment in Russian"
"LANG16","Staff counselors provide use abuse treatment in Spanish"
"LANG17","Staff counselors provide substance use treatment in Vietnamese"
"LANG18","Staff counselors provide substance use treatment in any other language"
"LANG19","Staff counselors provide substance use treatment in Italian"
"LANG20","Staff counselors provide substance use treatment in Tagalog"
"LANG21","Staff counselors provide substance use treatment in Ojibwa"
"LANG22","Staff counselors provide substance use treatment in Greek"
"LANG23","Staff counselors provide substance use treatment in Japanese"
"LANG24","Staff counselors provide substance use treatment in Farsi"
"LANG25","Staff counselors provide substance use treatment in Hebrew"
"LANG26","Staff counselors provide substance use treatment in Hindi"
"SACOUN","Facility frequently uses substance abuse counseling"
"X_12STEP","Facility frequently uses 12-step facilitation"
"BRIEF","Facility frequently uses brief intervention"
"COGBT","Facility frequently uses cognitive behavioral therapy"
"DIALBT","Facility frequently uses dialectical behavior therapy"
"CONMGMT","Facility frequently uses contingency management"
"MOTIVATE","Facility frequently uses motivational interviewing"
"TRAUMAC","Facility frequently uses trauma-related counseling"
"ANGERM","Facility frequently uses anger management"
"MATRIXM","Facility frequently uses Matrix Model"
"CRVOUCHER","Facility frequently uses community reinforcement plus vouchers"
"REBTHER","Facility frequently uses rational emotive behavioral therapy"
"RELPREV","Facility frequently uses relapse prevention"
"TELEMED","Facility frequently uses telemedicine/telehealth therapy"
"APPRCHOTH","Facility frequently uses other treatment approach"
"NOAPPRCH","Facility uses no clinical/therapeutic approaches"
"DUI_DWI","Facility offers a specially designed program for DUI/DWI or other drunk driver offenders"
"ONLYDUI","Facility serves only DUI/DWI clients"
"ONLYOUD","Serve only opioid use disorder clients"
"OPIOIDDETOX","Facility provides detoxification from opioids of abuse with methadone or buprenorphine for treating opioid use disorder"
"OPIOIDDLOFE","Facility provides detoxification from opioids of abuse with lofexidine orclonidine for treating opioid use disorder"
"OPIOIDMAINT","Facility provides maintenance services with methadone or buprenorphine for treating opioid use disorder"
"OPIOIDNAL","Facility provides relapse prevention with naltrexone for treating opioid use disorder"
"OPIOIDOTH","Facility provides other medication services for treating opioid use disorder"
"OPIOIDWDRAW","Facility provides maintenance services with medically supervised withdrawal (or taper) after a period of stabilization for treating opioid use disorder"
"FEESCALE","Facility uses a sliding fee scale"
"PAYASST","Facility offers treatment at no charge or minimal payment to clients who cannot afford to pay"
"EARMARK","Facility receives funding or grants from the federal government, or state, county, or local governments, to support its substance use treatment programs"
"REVCHK1","Accepts cash or self-payment for substance use treatment"
"REVCHK2","Accepts private health insurance as source of payment for substance use treatment"
"REVCHK3","Substance use treatment is free for all clients"
"REVCHK5","Accepts Medicaid as source of payment for substance use treatment"
"REVCHK8","Accepts Medicare as source of payment for substance use treatment"
"REVCHK10","Accepts state-financed health insurance plan other than Medicaid as source of payment for substance use treatment"
"REVCHK15","Accepts federal military insurance (such as TRICARE) as source of payment for substance use treatment"
"REVCHK17","Accepts IHS/Tribal/Urban (ITU) funds as source of payment for substance use treatment"
"ACCRED","Facility is licensed, certified, or accredited to provide substance abuse services by any of the organizations referenced"
"LICEN","Facility is licensed by hospital licensing authority or state"
"LICENHOS","Facility is licensed by hospital licensing authority"
"LICENMH","Facility is licensed by state mental health department"
"LICENPH","Facility is licensed by state department of health"
"LICENSED","Facility is licensed by state substance abuse agency"
"JCAHO","Facility has Joint Commission accreditation"
"CARF","Facility is Commission on Accreditation of Rehabilitation Facilities (CARF)-accredited"
"NCQA","Facility is National Committee for Quality Assurance (NCQA)-accredited"
"COA","Facility is Council on Accreditation (COA)-accredited"
"HFAP","Facility is accredited by Healthcare Facilities Accreditation Program (HFAP)"
"A_PCT","Pct of clients treated for only alcohol abuse"
"B_PCT","Pct of clients treated for both alcohol/drug abuse"
"D_PCT","Pct of clients treated for only drug abuse"
"HIBUPNUM","Hospital inpatient clients, buprenorphine dispensed or prescribed for opioid use disorder"
"HIMATNUM","Hospital inpatient clients - total medication assisted treatment – March 31, 2020"
"HIMETNUM","Hospital inpatient clients, methadone dispensed for opioid use disorder"
"HIVIVNUM","Hospital inpatient clients, naltrexone administered for opioid use disorder"
"OPBUPNUM","Outpatient clients, buprenorphine dispensed or prescribed for opioid use disorder"
"OPMATNUM","Outpatient clients - total medication assisted treatment – March 31, 2020"
"OPMETNUM","Outpatient clients, methadone dispensed for opioid use disorder"
"OPVIVNUM","Outpatient clients, naltrexone administered for opioid use disorder"
"RCBUPNUM","Residential clients, buprenorphine dispensed or prescribed for opioid use disorder"
"RCMATNUM","Residential clients - total medication assisted treatment – March 31, 2020"
"RCMETNUM","Residential clients, methadone dispensed for opioid use disorder"
"RCVIVNUM","Residential clients, naltrexone administered for opioid use disorder"
"HIDISNUM","Hospital inpatient clients, disulfiram dispensed or prescribed for alcohol use disorder"
"HINALNUM","Hospital inpatient clients, naltrexone dispensed or prescribed for alcohol use disorder"
"HIACAMNUM","Hospital inpatient clients, acamprosate dispensed or prescribed for alcohol use disorder"
"RCDISNUM","Residential clients, disulfiram dispensed or prescribed for alcohol use disorder"
"RCNALNUM","Residential clients, naltrexone dispensed or prescribed for alcohol use disorder"
"RCACAMNUM","Residential clients, acamprosate dispensed or prescribed for alcohol use disorder"
"OPDISNUM","Outpatient clients, disulfiram dispensed or prescribed for alcohol use disorder"
"OPNALNUM","Outpatient clients, naltrexone dispensed or prescribed for alcohol use disorder"
"OPACAMNUM","Outpatient clients, acamprosate dispensed or prescribed for alcohol use disorder"
"HOSPBED","Hospital inpatient clients – total beds designated for substance use treatment"
"RESBED","Residential clients - total beds designated for substance use treatment"
"H_AGE1","Hospital inpatient clients under 18 years old"
"O_AGE1","Outpatient clients under 18 years old"
"R_AGE1","Residential clients under 18 years old"
"T_CLI1_D","Hospital inpatient clients, detoxification - for DUI/DWI facilities"
"T_CLI1_O","Hospital inpatient clients, detoxification - for OTP facilities"
"T_CLI1_X","Hospital inpatient clients, detoxification - for non-OTP and non-DUI/DWI facilities"
"T_CLI2_D","Hospital inpatient clients, treatment - for DUI/DWI facilities"
"T_CLI2_O","Hospital inpatient clients, treatment - for OTP facilities"
"T_CLI2_X","Hospital inpatient clients, treatment - for non-OTP and non-DUI/DWI facilities"
"T_CLI3_D","Residential clients, detoxification - for DUI/DWI facilities"
"T_CLI3_O","Residential clients, detoxification - for OTP facilities"
"T_CLI3_X","Residential clients, detoxification - for non-OTP and non-DUI/DWI facilities"
"T_CLI5_D","Outpatient clients, regular outpatient care - for DUI/DWI facilities"
"T_CLI5_O","Outpatient clients, regular outpatient care - for OTP facilities"
"T_CLI5_X","Outpatient clients, regular outpatient care - for non-OTP and non-DUI/DWI facilities"
"T_CLI6_D","Outpatient clients, intensive - for DUI/DWI facilities"
"T_CLI6_O","Outpatient clients, intensive - for OTP facilities"
"T_CLI6_X","Outpatient clients, intensive - for non-OTP and non-DUI/DWI facilities"
"T_CLI7_D","Outpatient clients, detoxification - for DUI/DWI facilities"
"T_CLI7_O","Outpatient clients, detoxification - for OTP facilities"
"T_CLI7_X","Outpatient clients, detoxification - for non-OTP and non-DUI/DWI facilities"
"T_CLI8_D","Outpatient clients, day treatment/partial hospitalization - for DUI/DWI facilities"
"T_CLI8_O","Outpatient clients, day treatment/partial hospitalization - for OTP facilities"
"T_CLI8_X","Outpatient clients, day treatment/partial hospitalization - for non-OTP and non-DUI/DWI facilities"
"T_CLI9_D","Residential clients, short-term detoxification - for DUI/DWI facilities"
"T_CLI9_O","Residential clients, short-term detoxification - for OTP facilities"
"T_CLI9_X","Residential clients, short-term detoxification - for non-OTP and non-DUI/DWI facilities"
"T_CLI10_D","Residential clients, long-term detoxification - for DUI/DWI facilities"
"T_CLI10_O","Residential clients, long-term detoxification - for OTP facilities"
"T_CLI10_X","Residential clients, long-term detoxification - for non-OTP and non-DUI/DWI facilities"
"T_CLIHI_D","Total number of hospital inpatients - for DUI/DWI facilities"
"T_CLIHI_O","Total number of hospital inpatients - for OTP facilities"
"T_CLIHI_X","Total number of hospital inpatients - for non-OTP and non-DUI/DWI facilities"
"T_CLIML_D","Outpatient clients, methadone maintenance - for DUI/DWI facilities"
"T_CLIML_O","Outpatient clients, methadone maintenance - for OTP facilities"
"T_CLIML_X","Outpatient clients, methadone maintenance - for non-OTP and non-DUI/DWI facilities"
"T_CLIOP_D","Total number of outpatient clients - for DUI/DWI facilities"
"T_CLIOP_O","Total number of outpatient clients - for OTP facilities"
"T_CLIOP_X","Total number of outpatient clients - for non-OTP and non-DUI/DWI facilities"
"T_CLIRC_D","Total number of residential clients - for DUI/DWI facilities"
"T_CLIRC_O","Total number of residential clients - for OTP facilities"
"T_CLIRC_X","Total number of residential clients - for non-OTP and non-DUI/DWI facilities"
